regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
PROP1	PSCD1	-12	12	0.336450288	0.599098585	0
CREB1	NR1I3	-12	12	0.187011121	0.599084616	0
ELF1	AXUD1	-12	12	0.328841982	0.59907555	1
PAX6	PPARD	-12	12	0.266357747	0.598858222	1
RELB	NR4A3	12	12	0.295339388	0.598783482	1
IRF7	ZNF313	12	12	0.252284166	0.598534511	0
HIC2	MVK	12	12	0.235985494	0.598473471	0
ELF2	PPARD	12	12	0.194626763	0.598188415	1
TWIST1	THOC4	12	12	0.20060025	0.598125206	0
RFX1	NR1D1	-12	12	0.169486818	0.59803504	1
AHR	MB21D1	12	12	0.177122177	0.597958489	0
MLXIPL	PRKCE	-12	12	0.169815425	0.597948033	1
YY1	ESRRB	-12	12	0.147981176	0.597672429	1
RXRA	IRF3	11	11	0.539482982	0.549702974	0
STAT2	Slfn2	11	11	0.48391681	0.549667075	1
ZNF263	IRF6	11	11	0.416933976	0.549584352	1
ZNF263	RXRG	11	11	0.276359055	0.549469459	1
PBX3	NR2C2	-11	11	0.153979286	0.549069237	1
PROP1	MIR155	-11	11	0.252692604	0.549031314	0
IRF7	NT5C3	11	11	0.271689313	0.549007939	1
NFKB1	MIR155	11	11	0.252835745	0.548997962	1
TFAP2D	ERVWE1	-11	11	0.166663304	0.548954147	0
IRF7	PCTK2	11	11	0.29074437	0.548920927	0
ZBTB4	NR6A1	-11	11	0.215676243	0.548899858	1
THAP1	NFKBIB	11	11	0.186765905	0.548895286	1
STAT2	KIAA1618	11	11	0.237082762	0.548669288	1
E2F2	APOBEC3B	11	11	0.177773777	0.548547978	0
RFX2	RORA	11	11	0.198200724	0.548537511	1
NR6A1	RXRB	11	11	0.182805543	0.548405093	0
MEF2A	STAT5B	-11	11	0.161749609	0.548374003	0
MNT	FAM125B	11	11	0.18655191	0.548360295	0
ETV7	CTSL1	11	11	0.143654721	0.548343786	1
CEBPB	THRB	11	11	0.103505548	0.548300746	1
RFX1	CCL18	-11	11	0.156312042	0.548259581	0
NFKB1	IL8	11	11	0.149433093	0.548113528	1
LMO2	PLCG1	11	11	0.131801768	0.548095064	1
RXRA	NFKBIB	11	11	0.174201013	0.548038794	0
ETV7	ACACA	-11	11	0.100985883	0.547735759	1
CTCF	RORC	10	10	0.372902259	0.499973979	1
SP1	NR2E3	10	10	0.386840083	0.499955966	1
ETV4	STAT3	10	10	0.14721274	0.499556557	0
IRF2	NR4A3	10	10	0.174992435	0.499547435	1
JUN	RELA	10	10	0.166338287	0.499543256	1
PLAGL1	SREBP1	10	10	0.15597204	0.499535332	1
IRF9	IRF7	10	10	0.117512844	0.499412409	1
HOXB3	RELB	-10	10	0.134430251	0.499387172	0
STAT2	NR4A3	10	10	0.177591388	0.49935893	1
IRF7	KIAA1618	10	10	0.106074854	0.499270843	1
EGR2	PPARG	10	10	0.160487449	0.499183453	1
HOXB3	IRF8	-10	10	0.133225196	0.499078384	0
MXI1	NR5A2	-10	10	0.092069867	0.499069695	0
FOXO1	IRF7	-10	10	0.122367246	0.499064767	0
IRF1	IRF8	10	10	0.089147661	0.499003468	0
ZFX	SAMHD1	-10	10	0.105323886	0.498953365	1
MLXIPL	NAMPT	-10	10	0.119411948	0.498913441	0
ZNF740	C2orf31	10	10	0.104779781	0.498742094	1
REL	CCL5	10	10	0.094904275	0.498739627	1
HOXC13	PSCD1	10	10	0.10174875	0.498734225	0
MXI1	FLJ39739	-10	10	0.081702746	0.498685912	0
IRF2	IL1R	-10	10	0.088843277	0.498590137	1
PPARG	NR2C1	-10	10	0.097420259	0.49844786	1
IRF9	KIAA1618	10	10	0.086780932	0.498419389	1
AHR	DNAPTP6	10	10	0.080484472	0.498246628	0
TEAD3	FLJ39739	10	10	0.075565141	0.498149591	1
GLIS3	PLA2	10	10	0.058299245	0.498119456	0
ZEB1	TBK1	-10	10	0.04731143	0.498064422	1
JUNB	FAM70A	10	10	0.046181441	0.497687039	0
RFX6	INSIG1	10	10	0.047495861	0.497438441	1
EGR1	SQLE	-10	10	0.0468439	0.497270949	1
ZNF263	NGFB	9	9	0	0.449605713	1
ZNF263	pIgR	9	9	0	0.44952674	1
EBF1	LXRB	9	9	0	0.449483602	1
NR4A2	RXRA	-9	9	0	0.449432543	0
IRF8	SAMHD1	9	9	0	0.449376363	0
THRB	SREBP1	9	9	0	0.449371818	1
ETV7	ABCA1	9	9	0	0.449370439	0
PPARD	MYD88	9	9	0	0.44923259	0
TFAP4	IRF4	-9	9	0	0.44912814	1
STAT5A	SAMHD1	9	9	0	0.449015299	0
THRB	FASN	9	9	0	0.448992842	0
MLXIPL	IFNB1	-9	9	0	0.448782085	0
HSF4	SELS	9	9	0	0.448611111	0
EBF1	RARG	9	9	0	0.44857035	1
STAT6	PPARA	-9	9	0	0.448551183	1
ARID3C	UGCGL1	-9	9	0	0.4484614	0
PPARD	CD7	9	9	0	0.448403254	0
TFCP2	IKBKB	9	9	0	0.448364781	1
FOXO3	CSDA	9	9	0	0.448239932	1
TFAP4	NKAPL	9	9	0	0.448188904	0
CTCFL	HMGCR	-9	9	0	0.447972561	0
ZNF76	FAM70A	-9	9	0	0.447971825	0
REST	NKAPL	9	9	0	0.447886565	1
SNAI1	SCD2	9	9	0	0.447719866	1
CTCF	NR2E1	8	8	0	0.399920375	0
RXRA	LSS	8	8	0	0.399665957	0
PLAGL1	NR2F6	8	8	0	0.399646662	0
RXRA	RELA	8	8	0	0.399571645	1
MGA	NR6A1	8	8	0	0.399523664	1
THAP1	KIAA0082	8	8	0	0.399478868	1
HIC2	LSS	8	8	0	0.399453222	0
ASCL2	PLCG1	8	8	0	0.399393741	1
THAP1	NFKB2	8	8	0	0.399374364	0
PLAGL1	SREBP2	8	8	0	0.399371175	0
STAT2	IRF7	8	8	0	0.399348678	1
NFKB1	CD54	8	8	0	0.399314749	1
GATA6	MIR155	8	8	0	0.399297812	0
THRB	IKBKG	8	8	0	0.399294897	1
PLAGL1	NFKBIB	8	8	0	0.399235189	1
ARNTL2	CD54	-8	8	0	0.399197018	0
KLF16	REL	8	8	0	0.399196637	1
FOXO1	PRIC285	-8	8	0	0.399171862	0
ZNF589	ESR1	8	8	0	0.399163392	1
TEF	NR6A1	8	8	0	0.399118686	0
ZIC3	STAT5B	-8	8	0	0.399098722	0
HOXB3	STAT5A	-8	8	0	0.399094363	0
PPARG	CD86	-8	8	0	0.399091838	1
ARID3B	LXRA	8	8	0	0.399037787	0
ARID3C	SAMHD1	-8	8	0	0.399036549	0
STAT2	NR3C1	8	8	0	0.399022983	1
SIX1	CD7	8	8	0	0.398947675	0
NKX6-3	NR0B2	8	8	0	0.398892092	nan
TCFL5	RORB	-8	8	0	0.398785863	1
ELF1	PRKCE	-8	8	0	0.398697886	1
ESRRG	P2RX7	-8	8	0	0.39865161	1
PROP1	PCTK2	-8	8	0	0.398496654	0
TCF7L2	NR5A1	8	8	0	0.398438604	0
FOXB2	PLA2G4C	-8	8	0	0.398403476	0
STAT3	PLA2	8	8	0	0.398301466	1
ELF1	CREBB	-8	8	0	0.398291432	1
FOS	NR1D1	8	8	0	0.398210985	1
TCFL5	THRB	-8	8	0	0.39814225	0
NHLH2	Rdh1	8	8	0	0.398110928	1
ARID3B	THRA	8	8	0	0.398020032	0
ZNF263	PGR	7	7	0	0.349934375	1
POU5F1	SREBP2	-7	7	0	0.349799696	0
NFYB	PRIC285	-7	7	0	0.349775405	0
PLAGL1	RXRA	7	7	0	0.349754855	1
KLF13	LXRB	7	7	0	0.34969621	1
IRF9	STAT2	7	7	0	0.3496934	1
SMARCC2	NR2F6	7	7	0	0.349659925	1
STAT2	PCTK2	7	7	0	0.349608164	1
TWIST2	TMEM49	-7	7	0	0.349605872	0
HINFP	RORC	-7	7	0	0.349598582	0
ZNF589	RXRA	7	7	0	0.34959373	0
POU5F1	LSS	-7	7	0	0.349539684	0
ETV5	NR3C2	7	7	0	0.349506002	1
IRF7	Slfn2	7	7	0	0.349495269	1
PPARD	C22orf28	7	7	0	0.349488122	0
HOXB3	STAT3	-7	7	0	0.349486023	0
FOXO1	KIAA0082	-7	7	0	0.34947009	1
RELB	PCTK2	7	7	0	0.349460056	1
STAT2	DNAPTP6	7	7	0	0.349450255	1
PLAGL1	STAT6	7	7	0	0.349450199	0
RFX6	UNC84B	7	7	0	0.349449925	0
NFYB	RARB	7	7	0	0.349433082	1
NFYA	CD86	-7	7	0	0.349421993	1
NFYB	C22orf28	-7	7	0	0.349385718	0
GLIS2	RXRA	7	7	0	0.349371922	1
ZSCAN10	NK4	-7	7	0	0.34934462	0
NFKB1	REL	7	7	0	0.349283684	1
THRB	MVK	7	7	0	0.34928303	1
LHX8	UGCGL1	-7	7	0	0.349251002	0
GATA6	MIR146A	-7	7	0	0.349242537	0
EGR1	CD54	-7	7	0	0.349227628	1
PROP1	NK4	-7	7	0	0.349211096	0
MYC	STAT5B	7	7	0	0.34920817	0
FOXO4	RARA	-7	7	0	0.349199538	1
NFYB	FAM125B	-7	7	0	0.349167597	0
OLIG3	INSR	7	7	0	0.349106481	0
REL	NAMPT	7	7	0	0.34909161	0
PAX6	CCL18	-7	7	0	0.349002528	0
STAT5A	ESR1	7	7	0	0.349000825	1
ZNF524	SELS	7	7	0	0.348995633	0
KLF5	NR4A2	7	7	0	0.348965819	1
NHLH2	CCL18	7	7	0	0.348951848	1
ATF5	IRF6	7	7	0	0.348915742	1
POU2F2	RORB	-7	7	0	0.348883749	1
SP2	ESR2	-7	7	0	0.348882383	1
SNAI1	PLA2	7	7	0	0.348872074	0
KLF15	PPARA	7	7	0	0.348869905	1
ETV5	C2orf31	-7	7	0	0.348846206	1
ELF1	APOBEC3B	-7	7	0	0.348817516	1
MYC	NK4	7	7	0	0.348780379	0
HES1	IL8RA	7	7	0	0.348676467	0
KLF5	RARG	-7	7	0	0.348627813	1
TFAP4	CTSL1	7	7	0	0.348595339	1
MYC	ACACA	-7	7	0	0.348578475	1
CTCFL	NR1D2	7	7	0	0.348490166	1
HES4	IFNB1	-7	7	0	0.348438841	0
NFIB	SCD2	7	7	0	0.348261767	1
ETS1	IL28RA	-7	7	0	0.348248635	0
DBP	EP300	-7	7	0	0.3482034	1
ELK3	CHUK	7	7	0	0.348151686	1
SP5	NR2E1	-6	6	0	0.299925505	0
SP1	ESR2	6	6	0	0.299852144	1
STAT2	RELA	6	6	0	0.29980499	0
EBF1	NR2F6	6	6	0	0.299778823	1
FOXP2	NR2C2	6	6	0	0.29972205	0
HOXA3	RXRA	6	6	0	0.299678032	0
T	C22orf28	6	6	0	0.299653553	0
SOX11	LXRB	-6	6	0	0.299629235	0
EBF1	IRF5	6	6	0	0.299628541	1
HOXB3	PSCD1	-6	6	0	0.299564094	1
ZIC4	IKBKG	6	6	0	0.299557398	0
MGA	COX7A2P1	6	6	0	0.29949287	0
GLI3	STAT5A	-6	6	0	0.299489199	0
JUN	RELB	6	6	0	0.299454467	1
TLX1	NR2F6	6	6	0	0.299419964	0
YBX1	PPARD	6	6	0	0.299416666	1
KLF13	IKBKB	6	6	0	0.299396599	0
FOXO3	MIR155	6	6	0	0.299383237	0
RELB	IFNB1	6	6	0	0.299366646	1
YY2	PGR	-6	6	0	0.299362534	0
TLX1	MVK	6	6	0	0.299342208	0
ZNF524	IL28RA	6	6	0	0.299341664	0
THAP1	UNC84B	6	6	0	0.299340981	1
PLAGL1	IL28RA	6	6	0	0.299333716	1
ZNF35	RARB	6	6	0	0.299332435	0
FEZF2	NR5A2	-6	6	0	0.299314981	0
KLF16	PSCD1	6	6	0	0.2992963	1
IRF2	C9orf19	6	6	0	0.299284139	1
VSX1	PPARD	-6	6	0	0.299278273	0
FOXO1	NFKBIB	-6	6	0	0.299258624	0
TBX19	CTSL1	-6	6	0	0.299254831	0
EBF1	IRF3	6	6	0	0.299250037	0
ZFX	NR2C1	6	6	0	0.299219487	1
PROP1	NFKB1	-6	6	0	0.299205104	1
ELF2	RARA	6	6	0	0.299189792	1
ETV7	ESR1	6	6	0	0.299188203	1
PPARD	NR2C1	-6	6	0	0.299180927	1
IRF7	TBK1	6	6	0	0.299160887	1
STAT2	FAM70A	6	6	0	0.299159135	0
THRB	NFKBIB	6	6	0	0.299140574	0
IRF1	STAT2	6	6	0	0.299135992	0
PKNOX2	Rdh7	6	6	0	0.299118716	0
PBX3	MVK	6	6	0	0.299115362	1
RELB	IRF9	6	6	0	0.299097763	0
GLI3	CMAH	-6	6	0	0.299094555	0
ZNF589	STAT4	-6	6	0	0.299074843	1
ESRRG	IRF8	-6	6	0	0.299031804	1
TERF2	P2RX7	-6	6	0	0.299023309	0
RELB	STAT4	6	6	0	0.299014288	1
ARNTL2	NR3C1	-6	6	0	0.299009079	0
TFAP4	ESR1	6	6	0	0.298919436	1
ETV7	LXRA	6	6	0	0.298903775	0
RREB1	NR1D2	-6	6	0	0.298893976	1
JUNB	CSDA	-6	6	0	0.298877859	1
NR4A1	ERVWE1	-6	6	0	0.29885851	0
ZBTB7B	GNB2L1	-6	6	0	0.298855226	1
PROP1	AGPAT9	6	6	0	0.298843352	1
ZNF652	ADFP	6	6	0	0.298796864	0
IRF8	A4	6	6	0	0.298781164	1
HIVEP2	LXRA	-6	6	0	0.298770697	0
NFKB2	STAT4	6	6	0	0.298751682	1
E2F4	TBK1	6	6	0	0.298745962	1
IRF1	SELS	6	6	0	0.298727249	0
RFX3	PPARA	6	6	0	0.298726959	0
ZBTB7A	IL28RA	6	6	0	0.29872531	1
PAX4	CHUK	-6	6	0	0.298721763	1
RFX2	NR1D1	6	6	0	0.298709349	1
ZBTB7A	NR1D2	6	6	0	0.298704415	1
ZNF76	PLA2G4C	-6	6	0	0.298648059	1
ELK3	CMAH	-6	6	0	0.298647076	0
REL	MIR146A	6	6	0	0.298627044	1
TAL1	CSDA	-6	6	0	0.298620351	1
YBX1	CMAH	-6	6	0	0.298580447	0
NR2C1	CHUK	-6	6	0	0.298538968	0
THRA	ESRRB	-6	6	0	0.298423126	1
EGR1	NKAPL	6	6	0	0.298417112	1
ZNF263	NR2E1	5	5	0	0.249964235	0
KLF13	LSS	5	5	0	0.249908428	0
SP4	Rdh7	5	5	0	0.249858031	0
IRF5	CCL5	5	5	0	0.249818924	1
PLAGL1	IKBKG	5	5	0	0.249773592	1
SP4	NR3C2	5	5	0	0.249765828	1
HIF1A	SCAP	5	5	0	0.249738696	1
NFATC1	RXRB	-5	5	0	0.249729458	0
PROP1	INSR	5	5	0	0.249716808	0
HIC2	FASN	5	5	0	0.249707258	0
ZNF263	HNF4G	5	5	0	0.249691182	1
CDX2	IL1R	-5	5	0	0.249679436	1
RELA	IRF4	5	5	0	0.249674255	0
YY2	IRF6	-5	5	0	0.249655274	0
NFIL3	IKBKB	-5	5	0	0.249649307	0
SOX11	PRIC285	-5	5	0	0.249633243	0
THAP1	PRIC285	5	5	0	0.24963289	0
PPARG	RARA	5	5	0	0.249614288	1
ETV4	NFKB2	5	5	0	0.249612536	0
AHR	AXUD1	5	5	0	0.249601054	1
ETV6	NR6A1	-5	5	0	0.249592506	1
THAP1	SREBP2	5	5	0	0.249583071	0
ESRRG	PHF15	-5	5	0	0.249581684	1
YY2	RXRG	-5	5	0	0.249576333	0
RBPJ	PRIC285	5	5	0	0.249555251	0
HOXA1	Osterix	5	5	0	0.249554373	0
SPI1	STAT5B	-5	5	0	0.249539415	1
VTN	STAT4	-5	5	0	0.249517877	0
VDR	LSS	5	5	0	0.249513349	0
POU5F1	RARB	5	5	0	0.24951053	1
REL	PLCG1	-5	5	0	0.24950279	1
IRF7	IRF9	5	5	0	0.249501546	0
ZNF524	NFKB2	5	5	0	0.249496838	1
HEY1	FAM125B	-5	5	0	0.249491282	0
ZNF35	RORA	5	5	0	0.249489907	1
THRB	C22orf28	5	5	0	0.249489543	1
FOXE1	PHF15	5	5	0	0.249478902	0
STAT2	IRF8	5	5	0	0.249472376	0
TFAP4	CD7	5	5	0	0.249469598	1
TFAP2D	NR2E3	-5	5	0	0.249444147	0
NFKB1	NR4A3	5	5	0	0.249438619	1
TBX19	A4	-5	5	0	0.249432241	0
NR5A1	AXUD1	5	5	0	0.24941845	1
ELK1	NR5A2	-5	5	0	0.249414149	1
TFCP2	IDOL_M	5	5	0	0.249408497	1
NFKB2	IRF7	5	5	0	0.249393941	0
ETV5	STAT6	-5	5	0	0.249387629	1
TERF2	RARG	5	5	0	0.249376785	0
KLF7	STAT5B	5	5	0	0.249376202	0
YY2	NR5A1	-5	5	0	0.249375232	0
ZNF143	LXRA	5	5	0	0.249355187	1
ELF1	IRF7	-5	5	0	0.249351439	1
ARX	NR3C1	-5	5	0	0.24932609	1
FOXP2	APOBEC3B	-5	5	0	0.249320776	0
HSF2	CD7	-5	5	0	0.249303591	0
HOXB1	NR5A2	5	5	0	0.249301121	0
SOX11	NR2C2	5	5	0	0.249280448	0
PROP1	SQLE	-5	5	0	0.249258561	0
MIXL1	NR2F6	5	5	0	0.249250506	0
HSF2	STAT1	-5	5	0	0.249248912	1
TFAP4	NR1D1	5	5	0	0.24920819	0
STAT2	TBK1	5	5	0	0.249204555	1
RXRA	PLA2	5	5	0	0.249201867	1
JUND	MVK	-5	5	0	0.249197175	1
ESRRG	STAT2	-5	5	0	0.249176457	0
TFAP4	IL1R	-5	5	0	0.249168108	1
BHLHE40	NR1I3	-5	5	0	0.249163278	0
ZNF143	JMJD3	-5	5	0	0.2491543	1
MNT	CD7	5	5	0	0.249151984	0
OTX1	IRF8	5	5	0	0.249146566	0
ZEB1	RXRB	5	5	0	0.249123516	0
MYC	KLRA1	5	5	0	0.249096473	0
NFATC1	EP300	5	5	0	0.249071559	1
PAX8	CMAH	5	5	0	0.249028051	0
PAX6	CCL18aa	-5	5	0	0.249025031	0
TP73	NR1D1	5	5	0	0.249022236	1
ARNT2	STAT4	-5	5	0	0.249019642	0
ZIC3	RXRB	-5	5	0	0.249002002	1
KLF3	PLA2	5	5	0	0.248947171	0
TERF2	CREBB	-5	5	0	0.248942252	1
IRF7	TNFSF10	5	5	0	0.248935582	1
JUNB	TBK1	5	5	0	0.248912977	1
POU2F3	ACACA	-5	5	0	0.248907933	0
NHLH2	CCL18aa	5	5	0	0.248829059	1
NR3C2	IL8RA	5	5	0	0.248823323	0
TCF12	STAT5B	-5	5	0	0.248818005	0
HES4	C9orf19	-5	5	0	0.24879621	1
GATA2	IL8RA	5	5	0	0.248771948	1
NR3C1	IL8RB	5	5	0	0.24871471	1
GRHL1	NKAP	5	5	0	0.248655606	1
STAT6	SCD1	5	5	0	0.248639571	1
ZNF148	ESRRB	-5	5	0	0.248575931	1
TFAP4	SCD1	5	5	0	0.248564541	1
ZBTB33	NKAP	5	5	0	0.248534532	1
MYPOP	REL	-4	4	0	0.199948798	0
ZFY	ESRRG	-4	4	0	0.199945678	1
IRF7	STAT3	4	4	0	0.199868429	0
PLAGL1	IRF5	4	4	0	0.199849639	0
RXRA	IRF7	4	4	0	0.199832423	0
ESR2	PHF15	4	4	0	0.199816505	1
TLX2	SCAP	-4	4	0	0.199815243	0
PBX3	UNC84B	4	4	0	0.199796727	1
ZNF35	THOC4	-4	4	0	0.199772589	0
IRF1	STAT3	4	4	0	0.199772399	1
NFKB1	STAT4	4	4	0	0.199756363	1
HOMEZ	IKBKG	-4	4	0	0.199755628	0
NRF1	RXRG	-4	4	0	0.199740276	0
IRF9	C22orf28	4	4	0	0.199728888	1
IRF9	ZNF313	4	4	0	0.199711642	0
MYC	STAT5A	4	4	0	0.199709279	0
IRF7	STAT1	4	4	0	0.199706341	1
MYOG	IRF5	4	4	0	0.19970425	1
IRF8	MYD88	4	4	0	0.19969485	1
ETV5	UNC84B	-4	4	0	0.199694387	0
HSF2	AXUD1	-4	4	0	0.199693132	0
PLAGL1	UNC84B	4	4	0	0.199692211	0
SCRT2	SAMHD1	4	4	0	0.199672785	1
RELA	REL	4	4	0	0.199657077	1
TLX1	SCAP	4	4	0	0.199646321	1
VSX1	A4	-4	4	0	0.199644693	0
CDX2	IRF4	-4	4	0	0.199637717	0
NFKB1	IRF4	4	4	0	0.199634059	1
FOXO1	C22orf28	-4	4	0	0.19962048	0
IRF1	KIAA1618	4	4	0	0.199617856	1
ETV5	IKBKG	-4	4	0	0.199616834	1
IRF7	IRF2	4	4	0	0.199605326	1
ZNF589	RARA	4	4	0	0.199595812	0
MAFG	C9orf19	-4	4	0	0.199592677	0
ZNF524	RELB	4	4	0	0.199591257	0
ZIC4	UNC84B	4	4	0	0.19956343	1
NFKB1	NR4A1	4	4	0	0.199540734	1
ZFY	NR2F1	-4	4	0	0.199531093	1
SOX15	PSCD1	-4	4	0	0.199530708	1
TFAP2E	CD7	4	4	0	0.199527885	0
STAT2	CD86	4	4	0	0.199503745	1
NFKB1	NK4	4	4	0	0.19949649	0
STAT2	SELS	4	4	0	0.19948758	0
BATF	IRF6	-4	4	0	0.19947869	0
JUNB	PRKCE	4	4	0	0.199469253	1
NR1H2	IL8	4	4	0	0.199464838	0
E2F4	DNAPTP6	4	4	0	0.199461433	1
T	A4	4	4	0	0.199446057	0
ARNTL2	MIR155	-4	4	0	0.19944031	0
IRF3	C22orf28	4	4	0	0.199433624	1
SMAD3	CTSL1	4	4	0	0.199419276	1
RFX8	HMGCR	4	4	0	0.199414879	0
EGR2	NR4A2	-4	4	0	0.199407763	1
PAX9	AGPAT9	4	4	0	0.199407222	0
ZNF281	NR2F1	4	4	0	0.199406911	0
POU2F1	NR2E3	4	4	0	0.199402842	1
ARID3B	SCD2	4	4	0	0.199392175	0
TWIST2	NR2C2	-4	4	0	0.199386157	0
E2F6	PRKCE	4	4	0	0.199381374	1
MYC	PLA2	4	4	0	0.199376403	1
HOMEZ	COX7A2P1	4	4	0	0.199375793	0
ESR2	PLA2	4	4	0	0.199372297	0
IRF3	STAT1	4	4	0	0.19937053	1
STAT2	ACACA	-4	4	0	0.199363171	1
NFATC3	UGCGL1	4	4	0	0.199360164	0
ZNF274	CSDA	-4	4	0	0.199341429	1
HOXA2	P2RX7	4	4	0	0.199336852	0
HNF4A	NK4	4	4	0	0.199327591	0
